web-scraper-order,web-scraper-start-url,link,link-href,name of organization,number of vacancies,salary,age,experience,Qualification
"1758010989-1","https://jobyaari.com/category/commerce?type=graduate","Multipurpose Assistant
                    
                      
                        
                          
                            Andhra Pradesh Medical Services Recruitment Board (APMSRB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2692","Andhra Pradesh Medical Services Recruitment Board (APMSRB)","1","Salary25000 / Month","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758010996-2","https://jobyaari.com/category/commerce?type=graduate","Security
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2659","Central Council for Research in Ayurvedic Sciences (CCRAS)","1","SalaryLevel 5, as per 7th CPC","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758011003-3","https://jobyaari.com/category/commerce?type=graduate","Upper Division Clerk
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2650","Central Council for Research in Ayurvedic Sciences (CCRAS)","39","SalaryLevel 4, as per 7th CPC","27","Experience
                Fresher","QualificationAny Degree"
"1758011010-4","https://jobyaari.com/category/commerce?type=graduate","Assistant
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2638","Central Council for Research in Ayurvedic Sciences (CCRAS)","13","SalaryLevel 6, as per 7th CPC","30","Experience
                Fresher","QualificationAny Degree"
"1758011018-5","https://jobyaari.com/category/commerce?type=graduate","Office Assistants
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2598","Institute of Banking Personnel Selection (IBPS)","7842","SalaryCheck Notification","18 - 28","Experience
                Fresher","QualificationAny Degree"
"1758011025-6","https://jobyaari.com/category/commerce?type=graduate","Customer Service Associate
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2594","Institute of Banking Personnel Selection (IBPS)","10277","Salary24050 - 64480","20 - 28","Experience
                Fresher","QualificationAny Degree"
"1758011032-7","https://jobyaari.com/category/commerce?type=graduate","Trade Apprentice (Assistant- Human Resource)
                    
                      
                        
                          
                            Indian Oil Corporation Limited (IOCL)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2584","Indian Oil Corporation Limited (IOCL)","537","SalaryCheck Notification","18 - 24","Experience
                Fresher","QualificationAny Degree"
"1758011039-8","https://jobyaari.com/category/commerce?type=graduate","शिक्षा विकास पदाधिकारी
                    
                      
                        
                          
                            Bihar Public Service Commission (BPSC)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2576","Bihar Public Service Commission (BPSC)","935","Salary29200 / Month","21 - 37","Experience
                Fresher","QualificationAny Degree"
"1758011046-9","https://jobyaari.com/category/commerce?type=graduate","Stenographer Grade-‘D’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2419","National Capital Region Planning Board (NCRPB)","2","Salary25500 - 81100","28","Experience
                Fresher","QualificationAny Degree"
"1758011054-10","https://jobyaari.com/category/commerce?type=graduate","Stenographer Grade-‘C’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2418","National Capital Region Planning Board (NCRPB)","1","Salary44900 - 142400","28","Experience
                Fresher","QualificationAny Degree"
