web-scraper-order,web-scraper-start-url,link,link-href,name of organization,number of vacancies,salary,age,experience,Qualification
"1758011473-1","https://jobyaari.com/category/education?type=graduate","Multipurpose Assistant
                    
                      
                        
                          
                            Andhra Pradesh Medical Services Recruitment Board (APMSRB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2692","Andhra Pradesh Medical Services Recruitment Board (APMSRB)","1","Salary25000 / Month","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758011480-2","https://jobyaari.com/category/education?type=graduate","Security
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2659","Central Council for Research in Ayurvedic Sciences (CCRAS)","1","SalaryLevel 5, as per 7th CPC","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758011487-3","https://jobyaari.com/category/education?type=graduate","Upper Division Clerk
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2650","Central Council for Research in Ayurvedic Sciences (CCRAS)","39","SalaryLevel 4, as per 7th CPC","27","Experience
                Fresher","QualificationAny Degree"
"1758011495-4","https://jobyaari.com/category/education?type=graduate","Assistant
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2638","Central Council for Research in Ayurvedic Sciences (CCRAS)","13","SalaryLevel 6, as per 7th CPC","30","Experience
                Fresher","QualificationAny Degree"
"1758011502-5","https://jobyaari.com/category/education?type=graduate","Office Assistants
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2598","Institute of Banking Personnel Selection (IBPS)","7842","SalaryCheck Notification","18 - 28","Experience
                Fresher","QualificationAny Degree"
"1758011509-6","https://jobyaari.com/category/education?type=graduate","Customer Service Associate
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2594","Institute of Banking Personnel Selection (IBPS)","10277","Salary24050 - 64480","20 - 28","Experience
                Fresher","QualificationAny Degree"
"1758011516-7","https://jobyaari.com/category/education?type=graduate","Trade Apprentice (Assistant- Human Resource)
                    
                      
                        
                          
                            Indian Oil Corporation Limited (IOCL)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2584","Indian Oil Corporation Limited (IOCL)","537","SalaryCheck Notification","18 - 24","Experience
                Fresher","QualificationAny Degree"
"1758011523-8","https://jobyaari.com/category/education?type=graduate","शिक्षा विकास पदाधिकारी
                    
                      
                        
                          
                            Bihar Public Service Commission (BPSC)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2576","Bihar Public Service Commission (BPSC)","935","Salary29200 / Month","21 - 37","Experience
                Fresher","QualificationAny Degree"
"1758011531-9","https://jobyaari.com/category/education?type=graduate","Stenographer Grade-‘D’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2419","National Capital Region Planning Board (NCRPB)","2","Salary25500 - 81100","28","Experience
                Fresher","QualificationAny Degree"
"1758011538-10","https://jobyaari.com/category/education?type=graduate","Stenographer Grade-‘C’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2418","National Capital Region Planning Board (NCRPB)","1","Salary44900 - 142400","28","Experience
                Fresher","QualificationAny Degree"
"1758011545-11","https://jobyaari.com/category/education?type=graduate","Assistant
                    
                      
                        
                          
                            Satluj Jal Vidyut Nigam Limited (SJVN)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2070","Satluj Jal Vidyut Nigam Limited (SJVN)","10","Salary23000 / Month","30","Experience
                                  10+
                  Years","QualificationAny Degree"
"1758011552-12","https://jobyaari.com/category/education?type=graduate","Proof Reader (As Trainee)
                              
                                
                                  
                                    
                                      Himachal Pradesh Rajya Chayan Aayog (HPRCA)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2356","Himachal Pradesh Rajya Chayan Aayog (HPRCA)","2","Salary28900 - 91600","18 - 45","Experience
                                  3+
                  Years","QualificationBachelor Of Education [B.Ed]"
"1758011560-13","https://jobyaari.com/category/education?type=graduate","Photo Type Setter Operator
                              
                                
                                  
                                    
                                      Himachal Pradesh Rajya Chayan Aayog (HPRCA)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2363","Himachal Pradesh Rajya Chayan Aayog (HPRCA)","5","Salary35600 - 112800","18 - 45","Experience
                Fresher","QualificationDiploma"
